rgt,cycle,trans_type,lat_req,lon_req,asc_req,lon_actual,lat_actual,asc_actual,trans_file,crr_id,tdif,conflict,priority,accept,,,,
68,0,1,-31.667,-162.94,0,,,,V2.0,,,,1,y,,,,
69,0,0,18.51,-168.12,0,,,,V2.0,,,,1,y,,,,
69,0,1,65.506,10.637,1,,,,V2.0,,,,1,y,,,,
69,0,0,2.8468,2.2542,1,,,,V2.0,,,,1,y,,,,
69,0,1,-46.118,175.23,0,,,,V2.0,,,,1,y,,,,
70,0,0,20.754,168.03,0,,,,V2.0,,,,1,y,,,,
70,0,1,52.806,164.06,0,,,,V2.0,,,,1,y,,,,
70,0,0,70.868,159.74,0,,,,V2.0,,,,1,y,,,,
70,0,1,-41.987,151.06,0,,,,V2.0,,,,1,y,,,,
71,0,0,11.154,145.4,0,,,,V2.0,,,,1,y,,,,
71,0,1,34.651,142.88,0,,,,V2.0,,,,1,y,,,,
71,0,0,72.128,135.6,0,,,,V2.0,,,,1,y,,,,
71,0,1,2.5212,-45.016,1,,,,V2.0,,,,1,y,,,,
71,0,0,-32.455,-48.657,1,,,,V2.0,,,,1,y,,,,
71,0,1,-35.792,126.68,0,,,,V2.0,,,,1,y,,,,
72,0,0,74.491,110.82,0,,,,V2.0,,,,1,y,,,,
72,0,1,60.909,-61.322,1,,,,V2.0,,,,1,y,,,,
72,0,0,40.719,-64.515,1,,,,V2.0,,,,1,y,,,,
72,0,1,20.921,-66.762,1,,,,V2.0,,,,1,y,,,,
72,0,0,-57.353,-75.757,1,,,,V2.0,,,,1,y,,,,
72,0,1,-7.2374,100.01,0,,,,V2.0,,,,1,y,,,,
73,0,0,72.916,88.014,0,,,,V2.0,,,,1,y,,,,
73,0,1,57.74,-85.579,1,,,,V2.0,,,,1,y,,,,
73,0,0,10.207,-91.485,1,,,,V2.0,,,,1,y,,,,
74,0,1,6.5118,75.007,0,,,,V2.0,,,,1,y,,,,
74,0,0,69.127,65.906,0,,,,V2.0,,,,1,y,,,,
74,0,1,65.351,-107.51,1,,,,V2.0,,,,1,y,,,,
74,0,0,21.73,-113.92,1,,,,V2.0,,,,1,y,,,,
